smiles,min_bde_pred,Group
CC(C)CCN1C2=C(C=CC=C2)N(CCN2CCOCC2)C(=O)C(NC(=O)NC2=CC=C(O)C=C2)C1=O,18.15802,0
C[C@@H]1N(C(=O)C2=CC=CC=C2)C(=O)OC1=O,15.266298,0
CC(=O)OC1=C(C=CC=C1)C(=O)NC1=CC(=CC(NC(=O)C2=C(OC(C)=O)C=CC=C2)=C1)C(N)=O,11.302079,0
C[C@H]1CN(CC(=O)NC2=C(N)C=CC=C2)C[C@@H](C)O1,21.110878,0
C\C=C\C=C\C(=O)OOC(C)(C)CCC(C)(C)OOC(=O)\C=C\C=C\C,70.59409,0
CC1=C(O)C=C(O)C=C1,14.876312,0
CCCC1(CC(O)=O)OCCC2=C1NC1=CC=C(OCC3=NC4=CC=CC=C4C=C3)C=C21,14.873255,0
COC(CCCNC(=O)CC(=O)NCCCC(OC)OC)OC,58.349747,0
COC1=CC(NC(=O)OCCN2CCCN(CCOC(=O)NC3=CC(OC)=C(OC(C)=O)C(OC)=C3)CC2)=CC(OC)=C1OC,15.867317,0
COC(=O)CCNC(=O)C1=CC2=C(C=C1N(C)C(=O)OCC(C)C)N(C)C(=N2)C1=CC=C(C=C1)C(N)=N,5.6067114,0
COC1=C(CC(=N)N2C[C@H]3[C@@H](C2)C(CC[C@@H]3O)(C2=CC=CC=C2)C2=CC=CC=C2)C=CC=C1,20.365814,0
COC1=C(OC)C=C2C(C=C(CO)C(CO)=C2C2=CC(=NC=C2)N2C(=O)C=C(OCCO)C3=CC=CC=C23)=C1,-8.030231,0
COC1=CC=C2N(CC3=CC=C(C=C3)C(C)(C)C)C(COC(C)=O)=C(C(=O)C(O)=O)C2=C1,21.101124,0
CN(CCC1=CC=CC=C1)C(=O)CC1=CN(C=CC(O)=O)C2=CC=C(OCC3=CC=CC=C3)C=C12,22.733536,0
COC1=C(C=CC=C1)[C@]1(O)C[C@H](CC#N)C[C@H]2CN(C[C@@H]12)C(=O)[C@@H](C)C1=C(O)C=CC=C1,18.352993,0
COC(=O)C1=CC=C(C=C1)C1=NNC=C1,13.798668,0
