smiles,Group
O=C(NCC(=O)N(CC1=CC=CC=C1)[C@H]1[C@H](CC2=CC=CC=C2)CCC2=CC=CC=C12)NC1=CC=CC(=C1)C(=O)NC1=NN=NN1,0
NC1=NC(NCC([N+]([O-])=O)([N+]([O-])=O)[N+]([O-])=O)=NO1,0
O=[N+](/C([N+]([O-])=O)=C1NCN(N=O)CN\1)[O-],0
CN1C([N+]([O-])=O)=NN=N1,0
NC(O1)=NN=C1C2=NON=C2[N+]([O-])=O,0
O=C(OCC([N+]([O-])=O)([N+]([O-])=O)[N+]([O-])=O)CCC([N+]([O-])=O)([N+]([O-])=O)[N+]([O-])=O,0
CCOC(=O)N1N=NN=C1C1=CC(=O)C2=C(O1)C=CC=C2,0
O=[N+](C1=CN([N+]([O-])=O)N=C1C2=NOC(C3=NN([N+]([O-])=O)C=C3[N+]([O-])=O)=N2)[O-],0
CN1C(=O)C(=C(O)C2=CC=CN=C12)[N+]([O-])=O,0
CC(C)(C)OC(=O)NC1=C(C=C(C#CC2=CC=CC=C2)C(OCC(O)CO)=C1)[N+]([O-])=O,0
O=C(OCCOC(N[N+]([O-])=O)=O)N[N+]([O-])=O,0
O=[N+](/C([N+]([O-])=O)=C1NCN([N+]([O-])=O)CN\1)[O-],0
O=C(OCC(COC(N[N+]([O-])=O)=O)([N+]([O-])=O)[N+]([O-])=O)N[N+]([O-])=O,0
ON=C(CC1=C(C=CC=C1)[N+]([O-])=O)C(O)=O,0
CC1=NC(C2=NON=C2N[N+]([O-])=O)=NO1,0
O=[N+](C1=CN([N+]([O-])=O)N=C1C2=NN=C(C3=NN([N+]([O-])=O)C=C3[N+]([O-])=O)O2)[O-],0
CCCCC1=NC=C2N1C(CC=C2CC(O)=O)C1=CC=C(C=C1)C1=C(C=CC=C1)C1=NN=NN1,0
O=C1OCC(CO[N+]([O-])=O)(CO[N+]([O-])=O)N1[N+]([O-])=O,0
NC1=[N+]([O-])ON=C1C2=NO[N+]([O-])=C2N,0
O=[N+](C1=CN(N=N1)/N=N/N2C=C([N+]([O-])=O)N=N2)[O-],0
CC(=O)C1=CN([C@H]2C[C@H](O)[C@@H](CN=[N+]=[N-])O2)C(=O)NC1=O,0
OC(=O)C1=C(NC(=N1)C1=CC=CC2=CC=CC=C12)C1=CC=C(C=C1)[N+]([O-])=O,0
CC(O)C1C(CC(=O)C(=[N+]=[N-])C(=O)OCC2=CC=C(C=C2)[N+]([O-])=O)NC1=O,0
[O-][N+](=O)C=CC1=CNC=C1,0
[N-]=[N+]=NC1=C2C(=O)N(CCCCN3C(=O)C4=CC=CC(N=[N+]=[N-])=C4C3=O)C(=O)C2=CC=C1,0
OC[C@H]1O[C@H](C[C@@H]1N=[N+]=[N-])N1C=CC(=O)NC1=O,0
COC1=C(OC)C=C2C(=C1)N=CN=C2N1CCC2=CC(=CC=C12)N=[N+]=[N-],0
[O-][N+](C([N+]([O-])=O)([N+]([O-])=O)C([H])([H])C([H])([H])C(OC([H])([H])C([N+]([O-])=O)([N+]([O-])=O)[N+]([O-])=O)=O)=O,0
CC(CC1=CC=C(C=C1)[N+]([O-])=O)(C(O)=O)C(O)=O,0
CC[C@H](C)[C@H](OCC1=CC=CC=C1)[C@@H]1[C@H](N[C@H]([C@H]1[N+]([O-])=O)C1=CC=CC=C1)C(O)=O,0
NC1=NN=NN1CCO[N+]([O-])=O,0
NC1=C([N+]([O-])=O)C2=NN=NN2N=C1N=[N+]=[N-],0
N/C(N1C(C)(O)CC(C)=N1)=C([N+]([O-])=O)/[N+]([O-])=O,0
CCCCC1=NC(CCCC)=C2N1C(CC=C2C1=CC=CC=C1)C1=CC=C(C=C1)C1=C(C=CC=C1)C1=NN=NN1,0
CCC(=O)C1=C(C)C2=CC=CC(=C2N1)[N+]([O-])=O,0
[O-][N+](=O)C1=CC=C(C=C1)C(=O)OC1=CC=CC2=CC3=CC=CC(OC(=O)C4=CC=C(C=C4)[N+]([O-])=O)=C3C(OC(=O)C3=CC=C(C=C3)[N+]([O-])=O)=C12,0
CN(O)C(=O)C=CC1=CC=C(C2=CC=CC=C12)[N+]([O-])=O,0
CC1=CC=C(C=C1)C1=C(C=CC=C1)C1=NN(N=N1)C(C1=CC=CC=C1)(C1=CC=CC=C1)C1=CC=CC=C1,0
CNN(C=C[N+]([O-])=O)N=CC1=NC=CC=C1,0
CN([N+]([O-])=O)CN1N=C([N+]([O-])=O)N=C1[N+]([O-])=O,0
CN([N+]([O-])=O)CN1N=C([N+]([O-])=O)C(N)=C1[N+]([O-])=O,0
ON1N=NC(C2=NN(O)N=N2)=N1,0
NC1=NN=NN1CCN2N=C([N+]([O-])=O)C([N+]([O-])=O)=C2N=[N+]=[N-],0
NC1=NC2=C([N+]([O-])=O)N=NN2N=C1N=[N+]=[N-],0
O=[N+](C(N=N1)=C(N=C/2N([H])[H])[N+]1=NC2=N/[N+]#N)[O-],0
NCC(=O)NC1=C(C=C(C=C1)[N+]([O-])=O)C(=NO)C1=CC=CC=C1,0
N/C(C1=NNC(N=[N+]=[N-])=N1)=N\O,0
OC(CN([N+]([O-])=O)CC([N+]([O-])=O)([N+]([O-])=O)[N+]([O-])=O)=O,0
CC(C)OC(=O)C1=C(C)NC(C)=C(C1C1=CC(=CC=C1)[N+]([O-])=O)C(=O)OCCCN(C)CC1=CC=CC=C1,0
CC1NC(=O)NN=C1C1=CC=C(C=C1)C1=NN=NN1,0
[O-][N+](=O)C1=C(C=CC=C1)C1=CNC(=N1)C#N,0
CCC1=NC2=CC=NN2C(=C1)N(C)CC1=CC2=C(OC(=C2)C2=C(C=CC=C2)C2=NN=NN2)C=C1,0
CCN1CC2=C(NC(=O)C1)C=C(C(OC)=C2)[N+]([O-])=O,0
O/N=C/C1=NO[N+]([O-])=C1/C=N/O,0
O=[N+](NCC(O[N+]([O-])=O)CN[N+]([O-])=O)[O-],0
CCCCC1=NC(CCCC)=C2C(CCC(N12)C1=CC=C(C=C1)C1=C(C=CC=C1)C1=NN=NN1)N1C(=O)CCC1=O,0
CCC1C(C)NN=C(C=CC2=CC=C(C=C2)[N+]([O-])=O)C2=C1C=C(OC)C(OC)=C2,0
